source,title,url,author,publish_time,hash,category,excerpt,scraped_at
TechCrunch,Homeland Security warns of Iran-backed cyberattacks targeting US networks,https://techcrunch.com/2025/06/26/homeland-security-warns-of-iran-backed-cyberattacks-targeting-us-networks/,Zack Whittaker,2025-06-26 09:20,7cce5411a48bfb9b57054598b06b7cb8,,,2025-06-30 20:58:27
TechCrunch,Ring cameras and doorbells now use AI to provide specific descriptions of motion activity,https://techcrunch.com/2025/06/25/ring-cameras-and-doorbells-now-use-ai-to-provide-specific-descriptions-of-motion-activity/,Lauren Forristal,2025-06-25 06:00,3f6829effd1160c2e871cd5cce88e0ca,,,2025-06-30 20:58:27
TechCrunch,US House bans WhatsApp from staff devices,https://techcrunch.com/2025/06/24/us-bans-whatsapp-from-house-of-representatives-staff-devices/,Ram Iyer,2025-06-24 04:30,4dc5fd636b0282cf8453506e957b7dc1,,,2025-06-30 20:58:27
TechCrunch,Why AI will eat McKinsey’s lunch — but not today,https://techcrunch.com/2025/06/29/why-ai-will-eat-mckinseys-lunch-but-not-today/,Connie Loizos,2025-06-29 21:10,2867c6a90d4ac010cd2ccb9dea3c3a6f,,,2025-06-30 20:58:27
TechCrunch,Jesse Draper’s Halogen Ventures closes $30M Fund III to focus on ‘future of family’,https://techcrunch.com/2025/06/27/jesse-drapers-halogen-ventures-closes-30m-fund-iii-to-focus-on-future-of-family/,Dominic-Madori Davis,2025-06-27 13:23,595f83bec16e117722cb0def0759d355,,,2025-06-30 20:58:27
TechCrunch,Only 2 exhibitor tables up for grabs at TechCrunch All Stage — claim by June 29,https://techcrunch.com/2025/06/27/only-2-exhibitor-tables-up-for-grabs-at-techcrunch-all-stage-claim-by-june-29/,TechCrunch Events,2025-06-27 13:15,5ffbe64eb699aabb6b77bcbcb15244ae,,,2025-06-30 20:58:27
TechCrunch,What comes after Twitter and Meta? The founders of 01A share their playbook at TechCrunch Disrupt 2025,https://techcrunch.com/2025/06/27/what-comes-after-twitter-and-meta-the-founders-of-01a-share-their-playbook-at-techcrunch-disrupt-2025/,TechCrunch Events,2025-06-27 11:40,41fff3a9180364cc98d071ebda27f173,,,2025-06-30 20:58:27
TechCrunch,Rollback rates: TechCrunch All Stage brings back early launch prices for a limited time,https://techcrunch.com/2025/06/27/rollback-rates-techcrunch-all-stage-brings-back-early-launch-prices-for-a-limited-time/,TechCrunch Events,2025-06-27 07:00,a6bcccbb89ebe55931f1b57a630dc3f0,,,2025-06-30 20:58:27
TechCrunch,"This AI-powered startup studio plans to launch 100,000 companies a year — really",https://techcrunch.com/2025/06/26/this-ai-powered-startup-studio-plans-to-launch-100000-companies-a-year-really/,Connie Loizos,2025-06-26 18:59,c9aba5fb296fe1cb037a97ae173f8650,,,2025-06-30 20:58:27
TechCrunch,"At TechCrunch All Stage, Jahanvi Sardana shares how top startups reshape markets",https://techcrunch.com/2025/06/26/new-session-at-techcrunch-all-stage-jahanvi-sardana-on-how-top-startups-reshape-markets/,TechCrunch Events,2025-06-26 15:44,61a8e051e31cfe89001013866d07d4b3,,,2025-06-30 20:58:27
TechCrunch,TechCrunch All Stage: Learn how AI can supercharge your MVPs with Chris Gardner,https://techcrunch.com/2025/06/26/techcrunch-all-stage-learn-how-ai-can-supercharge-your-mvps-with-chris-gardner/,TechCrunch Events,2025-06-26 14:00,a1f14aa25a5eae127ba24253f1b37f75,,,2025-06-30 20:58:27
TechCrunch,Trump says he’s found a buyer for TikTok,https://techcrunch.com/2025/06/29/trump-says-hes-found-a-buyer-for-tiktok/,Anthony Ha,2025-06-29 09:53,557289af881e533931da6cbfedcb2392,,,2025-06-30 20:58:27
TechCrunch,YouTube’s mobile video editor is coming to iOS,https://techcrunch.com/2025/06/27/youtubes-mobile-video-editor-is-coming-to-ios/,Jagmeet Singh,2025-06-27 13:38,582385b50a9e4639b17ba6661e464917,,,2025-06-30 20:58:27
TechCrunch,TikTok is testing its own version of Instagram’s ‘broadcast channels’,https://techcrunch.com/2025/06/27/tiktok-is-testing-its-own-version-of-instagrams-broadcast-channels/,Aisha Malik,2025-06-27 13:22,dd2d3393805aafa22626ecff81440997,,,2025-06-30 20:58:27
TechCrunch,"Google launches Doppl, a new app that lets you visualize how an outfit might look on you",https://techcrunch.com/2025/06/26/google-launches-doppl-a-new-app-that-lets-you-visualize-how-an-outfit-might-look-on-you/,Aisha Malik,2025-06-26 14:19,7a2fec9d390019901cdb6df599866a4b,,,2025-06-30 20:58:27
TechCrunch,Apple updates the rules for its EU App Store by adding more complicated fees,https://techcrunch.com/2025/06/26/apple-updates-the-rules-for-its-eu-app-store-by-adding-more-complicated-fees/,Sarah Perez,2025-06-26 13:38,e1166e3fb8d79bb97951497c86c4c142,,,2025-06-30 20:58:27
TechCrunch,"FBI, cybersecurity firms say a prolific hacking crew is now targeting airlines and the transportation sector",https://techcrunch.com/2025/06/28/fbi-cybersecurity-firms-say-scattered-spider-hackers-now-targeting-airlines-transportation-sector/,Zack Whittaker,2025-06-28 06:30,34a56ef5b1e361bc6b155c671e3c8282,,,2025-06-30 20:58:27
TechCrunch,TechCrunch Mobility: The Tesla robotaxi Rorschach test and Redwood’s next big act,https://techcrunch.com/2025/06/27/techcrunch-mobility-the-tesla-robotaxi-rorschach-test-and-redwoods-next-big-act/,Kirsten Korosec,2025-06-27 11:45,f2f1fe04219aa237de9d6d329df544c8,,,2025-06-30 20:58:27
TechCrunch,Big Tech lands an early win in legal battles against publishers,https://techcrunch.com/podcast/big-tech-lands-an-early-win-in-legal-battles-against-publishers/,Theresa Loconsolo,2025-06-27 09:13,113031e70d4be6abd0e71d01175e185c,,,2025-06-30 20:58:27
TechCrunch,Redwood Materials launches energy storage business and its first target is AI data centers,https://techcrunch.com/2025/06/26/redwood-materials-launches-energy-storage-business-and-its-first-target-is-ai-data-centers/,Kirsten Korosec,2025-06-26 20:36,ff71051c39e4e620821e55728970da0a,,,2025-06-30 20:58:27
TechCrunch,Travis Kalanick is trying to buy Pony AI — and Uber might help,https://techcrunch.com/2025/06/26/travis-kalanick-is-trying-to-buy-pony-ai-and-uber-might-help/,Sean O'Kane,2025-06-26 13:10,836c79986d08302f018e91e075263c4b,,,2025-06-30 20:58:27
TechCrunch,OpenAI reportedly ‘recalibrating’ compensation in response to Meta hires,https://techcrunch.com/2025/06/29/openai-reportedly-recalibrating-compensation-in-response-to-meta-hires/,Anthony Ha,2025-06-29 13:16,e497a6a016fa646ad69858c4a97b09f0,,,2025-06-30 20:58:27
TechCrunch,Trump says he’s found a buyer for TikTok,https://techcrunch.com/2025/06/29/trump-says-hes-found-a-buyer-for-tiktok/,Anthony Ha,2025-06-29 09:53,557289af881e533931da6cbfedcb2392,,,2025-06-30 20:58:27
TechCrunch,Authors call on publishers to limit their use of AI,https://techcrunch.com/2025/06/28/authors-call-on-publishers-to-limit-their-use-of-ai/,Anthony Ha,2025-06-28 13:51,4b74c4db6930e517ef9220eae3798153,,,2025-06-30 20:58:27
TechCrunch,Meta reportedly hires four more researchers from OpenAI,https://techcrunch.com/2025/06/28/meta-reportedly-hires-four-more-researchers-from-openai/,Anthony Ha,2025-06-28 11:31,ae81c7c10efb0208c5be9d42ce66b164,,,2025-06-30 20:58:27
TechCrunch,Jesse Draper’s Halogen Ventures closes $30M Fund III to focus on ‘future of family’,https://techcrunch.com/2025/06/27/jesse-drapers-halogen-ventures-closes-30m-fund-iii-to-focus-on-future-of-family/,Dominic-Madori Davis,2025-06-27 13:23,595f83bec16e117722cb0def0759d355,,,2025-06-30 20:58:27
TechCrunch,Denmark clamps down on deepfakes by letting people copyright their own features,https://techcrunch.com/2025/06/27/denmark-clamps-down-on-deepfakes-by-letting-people-copyright-their-own-features/,Rebecca Bellan,2025-06-27 07:58,1bbe137a197624af700be4d97749ca27,,,2025-06-30 20:58:27
TechCrunch,What comes after Twitter and Meta? The founders of 01A share their playbook at TechCrunch Disrupt 2025,https://techcrunch.com/2025/06/27/what-comes-after-twitter-and-meta-the-founders-of-01a-share-their-playbook-at-techcrunch-disrupt-2025/,TechCrunch Events,2025-06-27 11:40,41fff3a9180364cc98d071ebda27f173,,,2025-06-30 20:58:37
TechCrunch,Facebook is asking to use Meta AI on photos in your camera roll you haven’t yet shared,https://techcrunch.com/2025/06/27/facebook-is-asking-to-use-meta-ai-on-photos-in-your-camera-roll-you-havent-yet-shared/,Sarah Perez,2025-06-27 11:31,14917b14517a65bbdbd3caa637fd2bfc,,,2025-06-30 20:58:37
TechCrunch,TechCrunch All Stage 2025 welcomes Boldstart partner Ellen Chisa to talk early-stage enterprise bets,https://techcrunch.com/2025/06/27/techcrunch-all-stage-2025-welcomes-boldstart-partner-ellen-chisa-to-talk-early-stage-enterprise-bets/,TechCrunch Events,2025-06-27 11:05,facbe08161fda562040d6622ed5f556d,,,2025-06-30 20:58:37
TechCrunch,SpaceX’s Starbase city officials silent on crane collapse,https://techcrunch.com/2025/06/27/spacexs-starbase-city-officials-silent-on-crane-collapse/,Sean O'Kane,2025-06-27 10:58,9890bd4f6cd9379506f0f5e62f83183f,,,2025-06-30 20:58:37
TechCrunch,Startups Weekly: Tech and the law,https://techcrunch.com/2025/06/27/startups-weekly-tech-and-the-law/,Anna Heim,2025-06-27 10:05,bf5c5aa5219e4b94f5ba78f1378bf2a9,,,2025-06-30 20:58:37
TechCrunch,"Petlibro’s new smart camera uses AI to describe your pet’s movements, and it’s adorable",https://techcrunch.com/2025/06/27/petlibros-new-smart-camera-uses-ai-to-describe-your-pets-movements-and-its-adorable/,Lauren Forristal,2025-06-27 09:51,f4afa7e8ed0d2785da5abc4022b6f463,,,2025-06-30 20:58:37
TechCrunch,Big Tech lands an early win in legal battles against publishers,https://techcrunch.com/podcast/big-tech-lands-an-early-win-in-legal-battles-against-publishers/,Theresa Loconsolo,2025-06-27 09:13,113031e70d4be6abd0e71d01175e185c,,,2025-06-30 20:58:37
TechCrunch,TechCrunch All Stage 2025: Prepare 4 VC’s Jason Kraus will instruct on how to turn chaos into momentum,https://techcrunch.com/2025/06/27/techcrunch-all-stage-2025-prepare-4-vcs-jason-kraus-will-instruct-on-how-to-turn-chaos-into-momentum/,TechCrunch Events,2025-06-27 09:05,51b157413596e5a4902fad10cb77d453,,,2025-06-30 20:58:37
TechCrunch,Meta buys over 1 GW of renewables to power its data centers,https://techcrunch.com/2025/06/27/meta-buys-over-1-gw-of-renewables-to-power-its-data-centers/,Tim De Chant,2025-06-27 09:02,af5514b3b98badea98a2fa1ffbab36fb,,,2025-06-30 20:58:37
